"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
198703,0.0510464081211873,0.0127,0.003597122,0.001412247,0.0204,0.0559,-0.0144,-3.53101596082988,0.0202,-2.94876676827048,0.424911983,-0.004505936
198704,0.0129562406599688,0.0125,0.004480287,0.001971095,0.0236,0.0559,0.0136,-3.55466266050302,-0.0223,-2.9610311330528,0.428040214,-0.00221743
198705,0.031579652864092,0.0119,0.005352364,0.004193906,0.0295,0.0564,-0.0029,-3.53597799368711,-0.0473,-2.96464204035008,0.431471859,0.004493005
198706,0.0724951785456933,0.0118,0.003549246,0.002489234,0.0314,0.0566,0.0053,-3.53487651750923,-0.0105,-2.98601063701092,0.430490886,0.006940958
198707,0.0718141660872455,0.012,0.003536693,0.001070421,0.031,0.0567,0.0057,-3.574611360565,0.0098,-3.04841156954942,0.407892397,0.005202462
198708,0.0572996504435741,0.0119,0.002643172,0.00081816,0.0338,0.0569,0.0059,-3.61624210938628,-0.0178,-3.06276349071095,0.383543216,0.001882197
198709,-0.00239772819583571,0.0113,0.005272408,0.001776129,0.0332,0.0604,0.009,-3.64517888985574,-0.0165,-3.065418446048,0.37045382,0.001997436
198710,-0.196548519802334,0.0113,0.005244755,0.002534831,0.0352,0.064,-0.0053,-3.61530873324467,-0.0369,-3.01022323961231,0.379966722,0.006350332
198711,-0.0540518939407008,0.011,0.002608696,0.070945138,0.0313,0.0613,-0.0116,-3.36412361589843,0.0623,-2.73090561877568,0.494850843,0.01047774
198712,0.107223521020653,0.0122,0.000867303,0.006785455,0.0362,0.0569,0.0088,-3.26918690187834,0.0037,-2.60892030168438,0.538027324,0.00989844
198801,0.0733819207021237,0.0118,0,0.006852188,0.0343,0.0577,0.0047,-3.33382473087961,0.0165,-2.64751128989823,0.508812016,0.013274756
198802,0.0718617088285221,0.0119,0.002599653,0.009157508,0.0271,0.0581,-0.0149,-3.3681741866094,0.0666,-2.66660009253201,0.503773835,0.008422745
198803,-0.00431567127941251,0.0122,0.002592913,0.001967346,0.0288,0.0566,0.0086,-3.4038931185368,0.0052,-2.68742756105921,0.476197372,0.008792264
198804,0.0397664517181067,0.0118,0.004310345,0.001659199,0.0331,0.057,0.0119,-3.36474972877305,-0.0307,-2.63377945932646,0.507529954,0.00608003
198805,0.0330513300632939,0.0123,0.005150215,0.003459561,0.0338,0.0591,0.0011,-3.36375982445948,-0.016,-2.58940273222683,0.49647449,0.005063672
198806,0.0735754996470898,0.0114,0.003415884,0.002555773,0.0326,0.0626,0.0045,-3.35665573444709,-0.0102,-2.54156419283631,0.496770255,0.001347305
198807,0.0235297799642398,0.0114,0.004255319,0.002361308,0.0271,0.0646,0.0011,-3.38884257334727,0.0368,-2.53537280631377,0.471118872,-0.005397921
198808,-0.00998787601015169,0.0115,0.004237288,0.001910619,0.0274,0.0673,0.0059,-3.37514102212307,-0.017,-2.51377460917831,0.473991535,-0.002823128
198809,0.0697215575660937,0.011,0.004219409,0.001390319,0.0244,0.0706,-0.000399999999999999,-3.32757924890254,0.0058,-2.45849052348756,0.496640662,-0.006239752
198810,0.0550295590688549,0.0108,0.006722689,0.00119274,0.0193,0.0724,-0.00190000000000001,-3.35839874612562,0.0345,-2.48178549132496,0.477540454,-0.010001514
198811,0.010028625729788,0.00899999999999999,0.003338898,0.001631542,0.0154,0.0735,-0.0035,-3.37386176997061,0.0308,-2.49257117697255,0.469597189,-0.010462473
198812,0.0440303210490609,0.0103,0.000831947,0.001347997,0.0147,0.0776,0.0027,-3.34473279024186,-0.0196,-2.45886933454381,0.47717911,-0.007764956
198901,0.101050429124176,0.0108,0.00166251,0.000628111,0.0111,0.0807,-0.0071,-3.34934612687532,0.011,-2.45903088140442,0.465283574,-0.021405748
198902,-0.00166421815598633,0.0103,0.004979253,0.000964573,0.00760000000000001,0.0827,-9.99999999999994e-05,-3.4091625930342,0.0203,-2.51089236283872,0.430769494,-0.022360511
198903,0.0487851992244649,0.0097,0.004128819,0.001176079,0.0082,0.0853,0.005,-3.37098607584347,-0.0179,-2.46495741224269,0.446778457,-0.024823372
198904,0.0777663375145385,0.0087,0.005756579,0.001286452,0.0047,0.0882,-0.0058,-3.3828500928093,0.0122,-2.46926003774542,0.468691414,-0.023102134
198905,0.060368349462669,0.0082,0.006541292,0.000955584,0.00530000000000001,0.0865,0.0054,-3.41990901407592,0.0159,-2.5146682500106,0.444435257,-0.022801967
198906,0.0173478992570285,0.00890000000000001,0.005686434,0.001073056,0.0035,0.0843,-0.00219999999999999,-3.44276453706044,0.0401,-2.5457510168249,0.433441526,-0.027714057
198907,0.114384220215396,0.0093,0.002423263,0.00142953,0.000600000000000003,0.0815,-0.0155,-3.42326434811064,0.055,-2.53435115718379,0.440562937,-0.023948071
198908,0.038807319641923,0.00939999999999999,0.002417405,0.001018826,0.00130000000000001,0.0788,-0.006,-3.49624753979654,0.0238,-2.63946194220423,0.404035089,-0.028536215
198909,0.0175187576183245,0.0092,0.001607717,0.001380451,0.00509999999999999,0.079,0.0096,-3.50008201734642,-0.0259,-2.67571482045927,0.39272706,-0.024822149
198910,-0.000902718204270596,0.00899999999999999,0.003210273,0.000550192,0.0072,0.0775,0.0021,-3.48208535553741,0.0019,-2.69044861112135,0.39920975,-0.025747099
198911,0.0418309472064135,0.00890000000000001,0.0048,0.005635911,0.00460000000000001,0.0764,-0.0103,-3.4466686383022,0.0379,-2.67655443794908,0.406414929,-0.024350638
198912,0.0472871241521802,0.0092,0.002388535,0.000844809,0.0039,0.0769,-0.000799999999999999,-3.45325308172752,0.0078,-2.7047045511095,0.397225702,-0.027032773
199001,-0.0429710264286825,0.0096,0.001588562,0.000923423,0.0053,0.0763,0.0012,-3.46471774557619,-6e-04,-2.73777455185091,0.390454744,-0.012333537
199002,0.0369814928789735,0.00950000000000001,0.010309278,0.002892048,0.0101,0.0764,0.0152,-3.38551630733,-0.0343,-2.68411979610349,0.414971396,-0.01389679
199003,0.051977077479602,0.0092,0.004709576,0.001008578,0.0102,0.0774,0.0013,-3.38618810616289,-0.0025,-2.71058436844628,0.40917309,-0.011729203
